graph_size: (,)
field_type: Q
number_of_graphs: 66
-4157500912469/1949983790888; (0,3), (0,4), (0,5), (1,4), (1,5), (1,6), (2,4), (2,6), (2,7), (3,5), (3,7), (4,7), (5,7), (6,7)
3911656462461/3899967581776; (0,3), (0,4), (0,7), (1,3), (1,4), (1,6), (2,3), (2,4), (2,5), (3,7), (4,7), (5,6), (5,7), (6,7)
2551087799579/1949983790888; (0,3), (0,5), (0,6), (1,4), (1,6), (1,7), (2,4), (2,5), (2,7), (3,5), (3,7), (4,6), (5,7), (6,7)
838573589006/243747973861; (0,4), (0,5), (0,6), (1,4), (1,5), (1,7), (2,3), (2,6), (2,7), (3,5), (3,7), (4,6), (5,7), (6,7)
22884461983/139284556492; (0,4), (0,5), (0,6), (1,4), (1,5), (1,7), (2,4), (2,6), (2,7), (3,5), (3,6), (3,7), (4,6), (5,6)
9436614460411/3899967581776; (0,4), (0,5), (0,7), (1,3), (1,4), (1,5), (2,5), (2,6), (2,7), (3,4), (3,6), (4,7), (5,7), (6,7)
2556443008067/974991895444; (0,4), (0,5), (0,7), (1,4), (1,5), (1,6), (2,3), (2,5), (2,7), (3,4), (3,6), (4,7), (5,7), (6,7)
160433506615/974991895444; (0,5), (0,6), (0,7), (1,2), (1,5), (1,6), (2,5), (2,6), (3,4), (3,5), (3,7), (4,5), (4,7), (6,7)
10077379395935/3899967581776; (0,5), (0,6), (0,7), (1,3), (1,5), (1,7), (2,4), (2,6), (2,7), (3,4), (3,5), (4,6), (5,7), (6,7)
2552881015805/974991895444; (0,5), (0,6), (0,7), (1,3), (1,5), (1,7), (2,4), (2,6), (2,7), (3,4), (3,6), (4,5), (5,7), (6,7)
3598397979223/3899967581776; (0,5), (0,6), (0,7), (1,3), (1,6), (1,7), (2,4), (2,6), (2,7), (3,4), (3,5), (4,5), (5,7), (6,7)
